animeTitle	Junai Rhapsody
animeType	Music
animeNumEpisode	1
releaseDate	2016-06-17 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16020
animeDescription	"Official music video for Junai Rhapsody sung by Lon. The song was originally from 1994 and sung by Mariya Takeuchi but Lon's cover it was used as the theme song for the ""√Letter"" visual novel. The official music video was posted on Lon's official YouTube channel a day after the visual novel launched.
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
