animeTitle	Kyonyuu Daikazoku Saimin
animeType	OVA
animeNumEpisode	2
releaseDate	2017-12-01 00:00:00
endDate	2018-01-26 00:00:00
animeNumMembers	
animeScore	7.02
animeUsers	2601
animeRank	
animePopularity	5993
animeDescription	"Turning the powerful hypnotism capabilities of his penlight on his foster mother and stepsisters, Mamiya Yuuichi uses his family as an outlet for his sexual desires. As the absurdity that is the Mamiya household unfurls, the neighbors begin to notice. Worrying for the moral state of the Mamiya household, their neighbor Nanae comes over to talk. She is powerless to resist his powers of hypnotism, and their other neighbor, Yachiyo, later shares the same fate. Finally Ruiko, President of the Neighborhood Association, approaches the Mamiyas' house

(Source: TMDB)"
animeRelated	['Kyonyuu Kazoku Saimin']
animeCharacters	['Mamiya, Mifuyu', 'Akiha, Mamiya', 'Mamiya, Natsuki']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director'], ['Lune', 'Original Creator'], ['Skyhouse', 'Original Character Design']]
