animeTitle	Ebenbourg no Kaze
animeType	OVA
animeNumEpisode	2
releaseDate	2003-07-25 00:00:00
endDate	2003-09-26 00:00:00
animeNumMembers	1655
animeScore	5.56
animeUsers	535
animeRank	
animePopularity	9934
animeDescription	"Claude was a poor scholar living in England, but is called back to become the Lord of Ronsard by a counselor known as Sophie. Claude's life begins anew with the fate of the city in his hands. But the exiled former lord Eric wants his power back and plans to assassinate Claude. At his new home, Claude meets the lovely maid of the mansion, Mylene. 

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
