animeTitle	Kuutei Dragons
animeType	TV
animeNumEpisode	12
releaseDate	2020-01-09 00:00:00
endDate	2020-03-26 00:00:00
animeNumMembers	
animeScore	7.01
animeUsers	10590
animeRank	
animePopularity	3014
animeDescription	"Dragons, the rulers of the sky. To many people on the surface, they are a dire threat, but at the same time, a valuable source of medicine, oil, and food. There are those who hunt the dragons. They travel the skies in dragon-hunting airships. This is the story of one of those ships, the “Quin Zaza,” and its crew. 

(Source: Official site)"
animeRelated	['Kuutei Dragons']
animeCharacters	['Mika', 'Vanabelle', 'Takita', 'Jirou', 'Gaga', 'Ascella', 'Oken', 'Croco', 'Soraya', 'Mayne']
animeVoices	['Maeno, Tomoaki', 'Hanazawa, Kana', 'Amamiya, Sora', 'Saitou, Souma', 'Kumagai, Kentarou', 'Sakamoto, Maaya', 'Takeuchi, Shunsuke', 'Seki, Tomokazu', 'Uemura, Yuuto', 'Akasaki, Chinatsu']
animeStaff	[['Yoshihira, Tadahiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Uezu, Makoto', 'Script, Series Composition'], ['Akai Ko-en', 'Theme Song Performance']]
