animeTitle	Souya Monogatari
animeType	TV
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13653
animeDescription	"The Souya is a Japanese museum ship that previously served as an icebreaker and patrol boat, and was the first Japanese ship to take part in an Antarctic research expedition.

The anime tells the adventures of the ship and its crew. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
