animeTitle	Fushigi Naido
animeType	Movie
animeNumEpisode	1
releaseDate	1973-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16673
animeDescription	A stop-motion animation about sisters doing chores. One of them falls into a well and gets transported to a wonderland trying to retrieve a pail. There she helps the various creatures in wonderland and receives rewards. Upon returning home the other sister is jealous and tries the same but is rude and helps no one out of her selfishness.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
