animeTitle	Metropolis
animeType	Movie
animeNumEpisode	1
releaseDate	2001-05-26 00:00:00
endDate	
animeNumMembers	87359
animeScore	7.53
animeUsers	38156
animeRank	1550
animePopularity	1787
animeDescription	"In the great city of Metropolis, severe community structures and prejudice dominate a world where humans and robots live together. Unrest and violence increase with each new day.

Searching for the scientist Dr. Laughton, suspected to violate human rights by trading organs, the Japanese detective Shunsaku Ban and his nephew Kenichi arrive at Metropolis. In the scientist's laboratory, Kenichi discovers a girl without any memory of her past life. He decides to help her, so they run away together. His uncle follows him and penetrates the dark secrets of the city to find Duke Red, the man ruling from the shadows. Meanwhile, Kenichi desperately tries to protect the mysterious girl from the people hunting her. However, Duke Red and his adoptive son have their own deep reasons for chasing the girl. These reasons are connected to her true identity and the struggle for the domination of Metropolis...

[Written by MAL Rewrite]"
animeRelated	['Metropolis']
animeCharacters	"['Tima', 'Holmes, Rock', 'Hige Oyaji', 'Shikishima, Kenichi', 'Fifi', 'Ham Egg', 'Red, Duke', 'Lamp, Acetylene', ""Atlas's Friend"", 'Foodstand Vendor']"
animeVoices	['Imoto, Yuka', 'Okada, Kouki', 'Tomita, Kousei', 'Kobayashi, Kei', 'Aikawa, Rikako', 'Ebara, Masashi', 'Ishida, Tarou', 'Chiba, Shigeru']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Rintaro', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Otomo, Katsuhiro', 'Script']]
