animeTitle	b'Futsuu no Joshikousei ga [Locodol] Yattemita. OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	3227
animeRank	
animePopularity	
animeDescription	b'A new OVA for the idol girls series Futsuu no Joshikousei ga [Locodol] Yatte Mita. has been announced on the anime\xe2\x80\x99s official Twitter. The news was first given at the 2nd Early Summer Nagarekawa Festival which took place at the Differ Ariake Arena in Tokyo today, and consisted of live events including the main cast of the anime.\n\n(Source: MAL News)'
animeRelated	[b'Futsuu no Joshikousei ga [LocoDol] Yattemita.', b'Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.']
animeCharacters	[b'Usami, Nanako', b'Kohinata, Yukari', b'Mikoze, Yui', b'Nazukari, Mirai', b'Oota, Mitsugu', b'Nishifukai, Saori']
animeVoices	[b'\nItou, Miku\nJapanese\n', b'\nMisawa, Sachika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMinase, Inori\n\nTheme Song Performance\n\n', b'\nKosugi, Koutarou\n\nOriginal Creator\n\n']
