animeTitle	Raiyantsuuri no Uta
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	189
animeRank	
animePopularity	10390
animeDescription	An indentured Chinese laborer, brought to Japan to work in a coal mine during WWII, manages to escape his captors. He hides out in the Japanese countryside, so far from human habitation that he does not realize when the war ends, with ultimately tragic results. Based on a story by Yoichi Takashi.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
