animeTitle	Uchi no Maid ga Uzasugiru!
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-05 00:00:00
endDate	2018-12-21 00:00:00
animeNumMembers	
animeScore	6.93
animeUsers	41326
animeRank	
animePopularity	1612
animeDescription	"Having lost her mother at a young age, Misha Takanashi, a second grader who is Russian now lives with her Japanese step-father. Tsubame Kamoi, formerly a Japan Air Self-Defense Force, JASDF officer, comes to the Takanashi household as a housekeeper. This is a home comedy where Kamoi, a hardcore lolicon, attempts to get near Misha as she tries to fight against her.
"
animeRelated	['Uchi no Maid ga Uzasugiru', 'Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...']
animeCharacters	"['Kamoi, Tsubame', 'Takanashi, Misha', 'Ukai, Midori', 'Morikawa, Yui', 'Washizaki, Mimika', 'Takanashi, Yasuhiro', ""Midori's Mother"", ""Midori's Father"", 'Low-Angle Ojisan', 'Morikawa, Yuina']"
animeVoices	['Numakura, Manami', 'Shiraishi, Haruka', 'Ichimichi, Mao', 'Izawa, Shiori', 'Harada, Sayaka', 'Katou, Masayuki', 'Mano, Ayumi', 'Wakabayashi, Yuu', 'Satou, Nanami']
animeStaff	[['Oota, Masahiko', 'Director, Episode Director, Storyboard'], ['Ebina, Yasunori', 'Sound Director'], ['Shirahata, Yoshiyuki', 'Episode Director, Storyboard'], ['Numakura, Manami', 'Theme Song Performance']]
