animeTitle	b'Chou Futsuu Toshi Kashiwa Densetsu'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Chou Futsuu Toshi Kashiwa Densetsu Z', b'Chou Futsuu Toshi Kashiwa Densetsu: Ekimae Housou UDC2-hen', b'Chou Futsuu Toshi Kashiwa Densetsu: Kashiwa no Gotouji Yuru Anime']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
