animeTitle	Princess Lover! OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2010-09-17 00:00:00
endDate	2010-10-22 00:00:00
animeNumMembers	
animeScore	6.71
animeUsers	15451
animeRank	
animePopularity	3142
animeDescription	"After his parents are killed in an accident, Teppei Kobayashi is adopted by his grandfather, Isshin Arima. After taking his grandfather's name, Teppei is made the heir to the Arima Financial Combine, one of the leading forces in the Japanese industry. As befits the heir to an industrial empire, he is enrolled in one of Japan's most prestigious international schools.

There, Teppei finds himself surrounded by women of noble bearing and status. He quickly falls for Sylvia van Hossen, a European princess and fencing master. But Sylvia is aloof and difficult to read, and his maid, Yuu Fujikura, seems to have her own agenda. Will Teppei become the Princess Lover, or is his romance with Sylvia destined for failure?"
animeRelated	['Princess Lover! Sylvia van Hossen no Koiji', 'Princess Lover!']
animeCharacters	['van Hossen, Sylvia', 'Arima, Teppei', 'Fujikura, Yuu', 'van Hossen, Maria']
animeVoices	['Narumi, Erika', 'Ishida, Akira', 'Inokuchi, Yuka', 'Kobayashi, Maki']
animeStaff	[['Momoi, Sakura', 'Producer'], ['Kuroda, Kazuya', 'Animation Check, Character Design'], ['Ricotta', 'Original Creator']]
