animeTitle	Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	1956
animeRank	
animePopularity	5606
animeDescription	"A picture drama special included with the Blu-Ray release of the main series. Lelouch and friends attend Milly's graduation party.

(Source: Wikipedia)"
animeRelated	['Code Geass: Hangyaku no Lelouch R2', 'Code Geass: Hangyaku no Lelouch R2 Picture Drama']
animeCharacters	['Lamperouge, Lelouch', 'Fenette, Shirley', 'Lamperouge, Rolo', 'Ashford, Milly', 'Cardemonde, Rivalz', 'C.C.']
animeVoices	['Fukuyama, Jun', 'Orikasa, Fumiko', 'Mizushima, Takahiro', 'Ohara, Sayaka', 'Sugiyama, Noriaki', 'Yukana']
animeStaff	[['CLAMP', 'Original Character Design']]
