animeTitle	Shounen Onmyouji
animeType	TV
animeNumEpisode	26
releaseDate	2006-10-03 00:00:00
endDate	2007-03-13 00:00:00
animeNumMembers	51215
animeScore	7.57
animeUsers	17671
animeRank	1395
animePopularity	2471
animeDescription	Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.
animeRelated	['Shounen Onmyouji']
animeCharacters	['Touda', 'Abe no, Masahiro', 'Abe no, Seimei', 'Rikugou', 'Suzaku', 'Fujiwara no, Akiko', 'Genbu', 'Taiin', 'Seiryuu', 'Kazane']
animeVoices	['Konishi, Katsuyuki', 'Kaida, Yuki', 'Ishida, Akira', 'Takahashi, Hiroki', 'Suzumura, Kenichi', 'Kobayashi, Sanae', 'Minagawa, Junko', 'Konno, Hiromi', 'Morikawa, Toshiyuki', 'Orikasa, Fumiko']
animeStaff	[['Kunihiro, Mori', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Yoshida, Shunji', 'Episode Director'], ['Tsuchiya, Hiroyuki', 'Episode Director']]
