animeTitle	Terra e... (TV) Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	922
animeRank	
animePopularity	8705
animeDescription	"Episode list:
1: Episode 00 - Pilot Movie
2: TYPE BLUE -the ORIGIN-
3: Epilogue

Music video Coming Home to Terra isn't included in the entry as it doesn't contain any new scenes. Recap episode, also known as episode 6.5, is actually a fan-made picture drama; thus, it's also not included."
animeRelated	['Terra e...', 'Terra e... (TV)']
animeCharacters	['Soldier Blue', 'Shin, Jomy Marquis', 'Anyan, Keith', 'Physis']
animeVoices	['Sugita, Tomokazu', 'Saiga, Mitsuki', 'Koyasu, Takehito', 'Kobayashi, Sanae']
animeStaff	[['Takanashi, Yasuharu', 'Music'], ['Takemiya, Keiko', 'Original Creator'], ['Yuuki, Nobuteru', 'Character Design'], ['Izubuchi, Yutaka', 'Mechanical Design']]
