animeTitle	Xi Avant
animeType	Movie
animeNumEpisode	1
releaseDate	2011-03-26 00:00:00
endDate	
animeNumMembers	3070
animeScore	6.22
animeUsers	1649
animeRank	7615
animePopularity	8327
animeDescription	"Short anime screened in theaters with the stereoscopic 3D conversion of Ghost in the Shell: Stand Alone Complex - Solid State Society movie. The story of Xi Avant is set in Spain and other locales in the near future, and it is tied to the NTT Docomo mobile phone network's next-generation Xi service.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Takamura, Kaoru', 'Mysterious Girl']
animeVoices	['Kamiya, Hiroshi', 'Hayami, Saori']
animeStaff	[['Kamiyama, Kenji', 'Director, Screenplay, 2nd Key Animation, Original Creator'], ['Kawai, Kenji', 'Music'], ['Kakizakai, Tsukasa', 'Background Art'], ['Tanaka, Kouji', 'Director of Photography']]
