animeTitle	Mama wa Poyopoyo Saurus ga Osuki
animeType	TV
animeNumEpisode	52
releaseDate	1995-09-02 00:00:00
endDate	1996-08-31 00:00:00
animeNumMembers	
animeScore	6.52
animeUsers	134
animeRank	
animePopularity	12297
animeDescription	"This is the story of a young couple who struggle with their children.

Miki is the mother of two kids, Hyoga and Jura. Hyoga is a 4-year-old boy and Jura is a 2-year-old girl. Miki writes children's books at home. Miki wants to be a gentle and kind mother, but it is difficult to be patient with the kids. Her husband Gendai tries to be as cooperative as he can and helps her to attend to the kids. But sometimes he only makes her even angrier.

(Source: animenfo)

"
animeRelated	['Mama Loves the Poyo Poyo Zaurus']
animeCharacters	['Poyota, Jura', 'Poyota, Hyouga', 'Mama Mirai', 'Futoshi', 'Papa Mirai', 'Mother Gendai', 'Mama Hanazono', 'Mama Kunitachi', 'Poyota, Gendai', 'Hanazono, Saaya']
animeVoices	['Koorogi, Satomi', 'Shiratori, Yuri', 'Nakazawa, Midori', 'Watanabe, Kumiko', 'Shimaka, Yuu', 'Watanabe, Misa', 'Minami, Kyoko', 'Kuroda, Yumi', 'Cho', 'Motoi, Emi']
animeStaff	[['Kasai, Kenichi', 'Director, Assistant Director'], ['Hayase, Hiroyuki', 'Sound Director'], ['Ikeda, Mamiko', 'Script'], ['Shirato, Takeshi', 'Storyboard']]
