animeTitle	b'Goddamn'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	913
animeRank	
animePopularity	
animeDescription	b'Car racing anime, based on the manga by Kaoru Shintani that serialised in Big Comic Superior from 1988 to 1990. '
animeRelated	[b'Goddamn']
animeCharacters	[b'Todoroki, Gen', b'Van Dyke, Dick', b'Polignac, Josephine', b'Utsugi, Joumu', b'Shindou, Yuki', b'Yasuda, Taeko', b'Announcer', b'Erik', b'Senmu, Saji', b'Schultz, Hans']
animeVoices	[b'\nYamadera, Kouichi\nJapanese\n', b'\nEbara, Masashi\nJapanese\n', b'\nFuchizaki, Yuriko\nJapanese\n', b'\nNaya, Gorou\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nHashimoto, Tetsuya\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nTakagi, Hitoshi\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFuruse, Noboru\n\nDirector, Animation Director, Character Design\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nShintani, Kaoru\n\nOriginal Creator\n\n', b'\nTakahashi, Hideki\n\nKey Animation\n\n']
