animeTitle	b'Apache Yakyuugun'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	112
animeRank	
animePopularity	
animeDescription	b'A former baseball star who suffered a career crippling injury takes over as coach of a team of misfits in a poor village high school.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Monkey', b'Happa', b'Hanako', b'Chieko', b'Doujima, Takeshi', b'Sonchou', b'Iwaki, Kouchou', b'Negi Kantoku', b'Dani', b'Okera']
animeVoices	[b'\nOotake, Hiroshi\nJapanese\n', b'\nTanaka, Ryouichi\nJapanese\n', b'\nAsakura, Rie\nJapanese\n', b'\nTsuboi, Akiko\nJapanese\n', b'\nNoda, Keiichi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nMidorikawa, Minoru\nJapanese\n', b'\nNojima, Akio\nJapanese\n', b'\nYamada, Keaton\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasai, Osamu\n\nEpisode Director\n\n', b'\nHattori, Kouichi\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n', b'\nAraki, Shingo\n\nAnimation Director\n\n', b'\nIshiguro, Megumu\n\nKey Animation, Animation Director\n\n']
