animeTitle	b'Mahou Yuugi 2D'
animeType	b'ONA'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	1094
animeRank	
animePopularity	
animeDescription	"b""Padudu is a 12-year-old apprentice witch, chosen to represent her town in the coliseum. Donning her magical fish costume, which keeps her warm and fed, she sets off on her journey. But on the way she's swept away by a river to Dance Valley. Mayor Koffy captures her and throws her into the dungeon, hoping to eliminate the competition for Dance Valley's own coliseum candidate. Luckily for Padudu, this dungeon holds the mysterious witch Nonononn. They join together in a magical fight for survival. At the end of Blue Gender Trailer, the Magical witchland word came out!\n\nThis is the online version of Mahou Yugi...\n\n(Source: AniDB)"""
animeRelated	[b'Mahou Yuugi 3D']
animeCharacters	[b'Padudu', b'Pipin', b'MyuMyu', b'Mustard', b'Ketchup', b'Uokichi', b'Cofy', b'Purilun', b'Zucchini', b'Nonononn']
animeVoices	[b'\nTokunaga, Ai\nJapanese\n', b'\nShima, Ryouka\nJapanese\n', b'\nMurai, Kazusa\nJapanese\n', b'\nKatou, Nanae\nJapanese\n', b'\nNagata, Ryoko\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nIchijou, Miyuki\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nSaeki, Tomo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHayashi, Hiroki\n\nDirector\n\n', b'\nTokunaga, Ai\n\nTheme Song Performance\n\n', b'\nAzuma, Kiyohiko\n\nCharacter Design\n\n', b'\nNagaoka, Seikou\n\nMusic\n\n']
