animeTitle	b'Imako System'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	1907
animeRank	
animePopularity	
animeDescription	b'Based on the adult manga by Midori no Ruupe.'
animeRelated	[b'Imako System']
animeCharacters	[b'Imako', b'Ichina', b'Mikage', b'Tatsuki']
animeVoices	[b'\nAkino, Hana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMidori no Rupe\n\nOriginal Creator\n\n', b'\nShinkai, Kouki\n\nEditing\n\n', b'\nKasumi, Kyouka\n\nDirector of Photography\n\n']
