animeTitle	Dragon Quest: Dai no Daibouken
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	619
animeRank	
animePopularity	9063
animeDescription	It starts with a kid named Dai remembering a story told to him by his grandfather, the monster magician Brass, about the defeat of the Demon Lord Hadlar by the hands of a hero who, as the story progresses, is known to be Avan.
animeRelated	['Dragon Quest: Dai no Daibouken (TV)', 'Dragon Quest: Dai no Daibouken (2020)', 'Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito', 'Dragon Quest Retsuden: Roto no Monshou']
animeCharacters	['Dai', 'Leona', 'Gome', 'Brass']
animeVoices	['Fujita, Toshiko', 'Hisakawa, Aya', 'Kouda, Mariko', 'Takiguchi, Junpei']
animeStaff	[['Sanjou, Riku', 'Original Creator'], ['Morishita, Kouzou', 'Planning'], ['Nishiyama, Shigeru', 'Editing']]
