animeTitle	b'Grisaia no Rakuen Specials'
animeType	b'Special'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	27260
animeRank	
animePopularity	
animeDescription	b'Short specials included in the Blu-ray and DVD releases.'
animeRelated	[b'Grisaia no Rakuen', b'Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!']
animeCharacters	[b'Kazami, Yuuji', b'Kazami, Kazuki', b'Matsushima, Michiru', b'Sakaki, Yumiko', b'Stanfield, Milliela', b'Suou, Amane', b'Komine, Sachi', b'Irisu, Makina', b'Harudera, Yuria', b'Garrett, Agnes']
animeVoices	[b'\nTomonaga, Akane\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nTanaka, Ryouko\nJapanese\n', b'\nTaguchi, Hiroko\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nTamiyasu, Tomoe\nJapanese\n', b'\nNarumi, Erika\nJapanese\n', b'\nKobayashi, Mii\nJapanese\n']
animeStaff	[]
