animeTitle	Genshiken Nidaime OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	7515
animeRank	
animePopularity	4400
animeDescription	Bundled with the limited edition of the 15th volume of the manga. 
animeRelated	['Genshiken', 'Genshiken 2', 'Genshiken Nidaime']
animeCharacters	['Ogiue, Chika', 'Hopkins, Susanna', 'Madarame, Harunobu', 'Kasukabe, Saki', 'Oono, Kanako', 'Sasahara, Kanji', 'Kousaka, Makoto', 'Tanaka, Souichiro', 'Kuchiki, Manabu', 'Kugayama, Mitsunori']
animeVoices	['Yamamoto, Nozomi', 'Oozora, Naomi', 'Okitsu, Kazuyuki', 'Satou, Rina', 'Yukana']
animeStaff	[['Matsushita, Keiko', 'Producer'], ['Yamamoto, Nozomi', 'Theme Song Performance'], ['Miyazawa, Yasunori', 'Key Animation'], ['Fujii, Nozomu', 'Key Animation']]
