animeTitle	Mighty Thor: Battle Royale
animeType	ONA
animeNumEpisode	1
releaseDate	2017-10-29 00:00:00
endDate	
animeNumMembers	
animeScore	5.15
animeUsers	116
animeRank	
animePopularity	14479
animeDescription	"In an alternate Azeroth, Thor and Loki have decidedly more Japanese names and face Ohera-san's (Hela) destructive wrath in what looks like ancient Japan. In reality, it's a silly short to promote the release of Thor: Ragnarok, titled Mighty Thor: Battle Royale in Japan. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Loki']
animeVoices	[]
animeStaff	[]
