animeTitle	Casshern: Robot Hunter
animeType	OVA
animeNumEpisode	4
releaseDate	1993-08-21 00:00:00
endDate	1994-02-21 00:00:00
animeNumMembers	
animeScore	6.35
animeUsers	2928
animeRank	
animePopularity	5981
animeDescription	"In the near future, robot technology has advanced to the point of self-awareness. Under the leadership of the ""Black King,"" machines have decimated the human population and conquered the world. Those who survived the early holocaust have been enslaved for life. But throughout the hardships, a lone hero appears as the savior of mankind. He is Casshan - a fusion of man and machine driven to combat Black King and his forces to the end. 

(Source: ANN)"
animeRelated	['Shinzou Ningen Casshern', 'Casshern Sins', 'Infini-T Force']
animeCharacters	['Casshern', 'Friender', 'Kozuki, Luna', 'Braiking Boss', 'Narrator']
animeVoices	['Kusao, Takeshi', 'Touma, Yumi', 'Utsumi, Kenji', 'Sawaki, Ikuya']
animeStaff	[['Macek, Carl', 'Producer, ADR Director'], ['Kimura, Hiroshi', 'Producer'], ['Watanabe, Takashi', 'Director'], ['Abe, Masashi', 'Director']]
