animeTitle	Uchuu no Kishi Tekkaman Blade
animeType	TV
animeNumEpisode	49
releaseDate	1992-02-18 00:00:00
endDate	1993-02-02 00:00:00
animeNumMembers	14194
animeScore	7.45
animeUsers	4667
animeRank	1788
animePopularity	4607
animeDescription	"Tekkaman Blade takes place in the year 2300 AD. On a certain moment, the Radam attack earth. A few months after the beginning of the invasion, a tekkaman appears, he calls himself Blade and with the help of the Space Knights, Blade starts to fight the radam. But there are a few things that Blade isn't telling about his past. 

(Source: ANN)"
animeRelated	['Uchuu no Kishi Tekkaman', 'Uchuu no Kishi Tekkaman Blade OVA: Twin Blood', 'Uchuu no Kishi Tekkaman Blade II', 'Uchuu no Kishi Tekkaman Blade OVA: Burning Clock', 'Uchuu no Kishi Tekkaman Blade OVA: Missing Link']
animeCharacters	"['Aiba, Takaya', 'Kisaragi, Aki', 'Vereuse, Noal', 'Aiba, Shinya', 'Aiba, Miyuki', ""O'Toole, Barnard"", 'Asimov, Balzac', 'Angela', 'Luis', 'Milly']"
animeVoices	['Morikawa, Toshiyuki', 'Hayashibara, Megumi', 'Matsumoto, Yasunori', 'Koyasu, Takehito', 'Mizutani, Yuuko', 'Ikeda, Masaru', 'Horiuchi, Kenyuu', 'Doi, Mika', 'Asami, Junko', 'Yokoyama, Chisa']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Sawai, Kouji', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Itano, Ichirou', 'Episode Director, Storyboard, Animation Director']]
