animeTitle	Teekyuu 6
animeType	TV
animeNumEpisode	12
releaseDate	2015-10-06 00:00:00
endDate	2015-12-22 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	8282
animeRank	
animePopularity	4488
animeDescription	Sixth season of the Teekyuu series.
animeRelated	['Teekyuu', 'Teekyuu 5', 'Teekyuu 7', 'Teekyuu 6 Specials']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Tomalin', 'Tanaka, Kinako', 'Kondou, Annenkov', 'Oshimoto, Youta', 'Bobby', 'Kondou, Udonko']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Ogura, Yui', 'Nakashima, Yuki', 'Oosaka, Ryouta', 'Shimozuma, Yoshiyuki', 'Ishihara, Kaori']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Episode Director, Script, Storyboard, Key Animation, Animation Director, Character Design, Chief Animation Director'], ['Earth Star Dream', 'Theme Song Performance'], ['Piyo', 'Original Character Design'], ['Terada, Tsugeo', 'Original Creator']]
