animeTitle	Uchuu Kyoudai: Apo's Dream
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	1261
animeRank	
animePopularity	7862
animeDescription	"Included on a DVD within the limited edition of the manga's volume 17. 

Apo, the pet dog from the manga, will star in the anime."
animeRelated	['Uchuu Kyoudai']
animeCharacters	['Apo', 'Nanba, Mutta', 'Nanba, Hibito', 'Nanba, Father', 'Nanba, Mother']
animeVoices	[]
animeStaff	[['Koyama, Chuuya', 'Original Creator']]
