animeTitle	b'Meiken Jolie'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	884
animeRank	
animePopularity	
animeDescription	b'After befriending a white Pyrenees dog he names Belle, Sebastian sets out on a journey to find the mother he knows is still alive. \n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Sebastian', b'Angelina', b'Mendoza', b'Toros, Munyo', b'Cavallo, Johan', b'Maria', b'Rena', b'Policeman Martin', b'Commissioner', b'Berg, Prim']
animeVoices	[b'\nOhara, Noriko\nJapanese\n', b'\nYokozawa, Keiko\nJapanese\n', b'\nImanishi, Masao\nJapanese\n', b'\nMine, Eken\nJapanese\n', b'\nNomoto, Reizou\nJapanese\n', b'\nMatsuoka, Youko\nJapanese\n', b'\nIchiryuusai, Harumi\nJapanese\n', b'\nTsumura, Takashi\nJapanese\n', b'\nKimotsuki, Kaneta\nJapanese\n', b'\nNishio, Toku\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nOkuda, Seiji\n\nStoryboard\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b""\nD'Avena, Cristina\n\nTheme Song Performance\n\n"", b'\nIchiba, Mamoru\n\nTheme Song Performance, Inserted Song Performance\n\n']"
