animeTitle	Hiroshima e no Tabi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	115
animeRank	
animePopularity	13578
animeDescription	To spend the summer vacation, junior high school student, Kazuki rides a bullet train to Hiroshima to stay with his aunt. Arriving in Hiroshima, his aunt  narrates the tragic past of what happened the day  the atomic bomb fell. From the aunt who had to overcome a lot of hardships, he learns the value of peace and to have the courage to lose.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
