animeTitle	b'Amanchu! Advance'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	10359
animeRank	
animePopularity	
animeDescription	b'Second season of Amanchu!.'
animeRelated	[b'Amanchu!', b'Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto']
animeCharacters	[b'Kohinata, Hikari', b'Ooki, Futaba', b'Katori, Mato', b'Ninomiya, Ai', b'Ninomiya, Makoto', b'Aria', b'Himeno, Chizuru', b'Kohinata, Kino', b'Misaki, Kokoro', b'Misaki, Kotori']
animeVoices	[b'\nSuzuki, Eri\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nOonishi, Saori\nJapanese\n', b'\nUmehara, Yuuichirou\nJapanese\n', b'\nKubo, Yurika\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nYamamoto, Ai\nJapanese\n', b'\nKakuma, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Youko\n\nProducer\n\n', b'\nSatou, Junichi\n\nDirector, Sound Director, Storyboard\n\n', b'\nSayama, Kiyoko\n\nDirector, Episode Director\n\n', b'\nSekita, Osamu\n\nEpisode Director\n\n']
