animeTitle	Happy Party Train
animeType	Music
animeNumEpisode	1
releaseDate	2017-04-05 00:00:00
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	4037
animeRank	
animePopularity	5791
animeDescription	Music video included with the third single for the Love Live! Sunshine!! anime idol group Aqours.
animeRelated	['Kimi no Kokoro wa Kagayaiteru kai?', 'Koi ni Naritai Aquarium', 'Mitaiken Horizon', 'Love Live! Sunshine!!', '']
animeCharacters	['Tsushima, Yoshiko', 'Watanabe, You', 'Kunikida, Hanamaru', 'Sakurauchi, Riko', 'Ohara, Mari', 'Kurosawa, Ruby', 'Kurosawa, Dia', 'Matsuura, Kanan', 'Takami, Chika']
animeVoices	['Kobayashi, Aika', 'Saitou, Shuka', 'Takatsuki, Kanako', 'Aida, Rikako', 'Suzuki, Aina', 'Furihata, Ai', 'Komiya, Arisa', 'Suwa, Nanaka', 'Inami, Anju']
animeStaff	[]
