animeTitle	Roots Search: Shokushin Buttai X
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.17
animeUsers	1211
animeRank	
animePopularity	8709
animeDescription	"When a research crew in deep space discovers the desolate ship ""Green Planet"" that warps into their area, they encounter Buzz, the commander and sole surivor of the ship. Being too incapacitated to make them aware of the situation of his ship, the research team will soon discover that they have found something far, far worse... 

(Source: BakaBT) "
animeRelated	[]
animeCharacters	['Buzz', 'Moira', 'Buttai X', 'Scott', 'Raymond', 'Norman', 'Marcus']
animeVoices	['Horiuchi, Kenyuu', 'Han, Keiko', 'Yara, Yuusaku', 'Shiozawa, Kaneto', 'Kobayashi, Michitaka', 'Ginga, Banjou', 'Kobayashi, Osamu']
animeStaff	[['Matsuura, Noriyoshi', 'Sound Director'], ['Endou, Katsumi', 'Storyboard'], ['Koujina, Hiroshi', 'Key Animation'], ['Shimada, Michiru', 'Screenplay']]
