animeTitle	Meitantei Holmes
animeType	TV
animeNumEpisode	26
releaseDate	1984-11-06 00:00:00
endDate	1985-05-21 00:00:00
animeNumMembers	
animeScore	7.37
animeUsers	2989
animeRank	
animePopularity	5418
animeDescription	"Loosely based on the ""Sherlock Holmes"" series by Sir Arthur Conan Doyle, Sherlock Hound turns all the classic characters into dogs. The canine Sherlock Holmes, his assistant Watson, and housemaid Mrs. Hudson work together to solve mysteries. The culprit is usually Professor Moriarty and his gang, who use all kinds of wacky contraptions to steal what they want.

(Source: ANN)"
animeRelated	['Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki', 'Meitantei Holmes: Mrs. Hudson Hitojichi Jiken no Maki / Dover Kaikyou no Daikuuchuusen no Maki']
animeCharacters	['Holmes, Sherlock', 'Moriarty, Professor ', 'Watson', 'Hudson, Mary', 'Polly', 'Inspector Lestrade', 'Commander Raythunder', 'Ms. Shields', 'Todd', 'Gingham President']
animeVoices	['Hirokawa, Taichirou', 'Otsuka, Chikao', 'Tomita, Kousei', 'Ichiryuusai, Harumi', 'Tanaka, Mayumi', 'Iizuka, Shouzou', 'Nagai, Ichiro', 'Takahashi, Miki', 'Masuoka, Hiroshi', 'Kitamura, Kouichi']
animeStaff	[['Miyazaki, Hayao', 'Director, Episode Director, Script, Storyboard'], ['Okuda, Seiji', 'Episode Director'], ['Mizutani, Takaya', 'Episode Director'], ['Tomisawa, Nobuo', 'Episode Director, Storyboard, Key Animation']]
