animeTitle	b'Strike the Blood IV'
animeType	b'OVA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	12304
animeRank	
animePopularity	
animeDescription	b'Fourth season of Strike the Blood.'
animeRelated	[b'Strike the Blood', b'Strike the Blood III', b'Strike the Blood Final']
animeCharacters	[b'Himeragi, Yukina', b'Akatsuki, Kojou', b'Aiba, Asagi', b'Kirasaka, Sayaka', b'Minamiya, Natsuki', b'Kanase, Kanon', b'Astarte', b'Yaze, Motoki', b'Akatsuki, Nagisa', b'Kasugaya, Shizuri Castiella']
animeVoices	[b'\nTaneda, Risa\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nSeto, Asami\nJapanese\n', b'\nHayama, Ikumi\nJapanese\n', b'\nKanemoto, Hisako\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nAizawa, Saya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Hideyo\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nTaneda, Risa\n\nTheme Song Performance\n\n', b'\nKishida Kyoudan & The Akeboshi Rockets\n\nTheme Song Performance\n\n']
