animeTitle	Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	16180
animeRank	
animePopularity	3028
animeDescription	A recap episode of episodes 1 through 10 of Kekkai Sensen. Leonardo Watch reflects on his experiences at Libra.
animeRelated	['Kekkai Sensen']
animeCharacters	['Watch, Leonardo', 'DJ Fango', 'von Reinherz, Klaus', 'Renfro, Zapp', 'Macbeth, Mary', 'Macbeth, William']
animeVoices	['Sakaguchi, Daisuke', 'Sugiyama, Noriaki', 'Koyama, Rikiya', 'Nakai, Kazuya', 'Kugimiya, Rie']
animeStaff	[['Matsumoto, Rie', 'Director, Sound Director'], ['Furuya, Kazunao', 'Script'], ['UNISON SQUARE GARDEN', 'Theme Song Performance, Theme Song Arrangement'], ['Nightow, Yasuhiro', 'Original Creator, Original Character Design']]
