animeTitle	Hakuouki Shinkai: Kaze no Shou
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	700
animeRank	
animePopularity	7966
animeDescription	A special bonus OVA that was bundled with the Limited Edition version of the Hakuouki Shinkai: Kaze no Shou video game. It's a collection of various moments from the beginning of the game animated by Idea Factory. 
animeRelated	['Hakuouki']
animeCharacters	['Saitou, Hajime', 'Okita, Souji', 'Hijikata, Toshizou', 'Kazama, Chikage', 'Harada, Sanosuke', 'Toudou, Heisuke', 'Yukimura, Chizuru', 'Nagakura, Shinpachi', 'Iba, Hachirou', 'Sannan, Keisuke']
animeVoices	['Toriumi, Kousuke', 'Morikubo, Shoutarou', 'Miki, Shinichiro', 'Tsuda, Kenjirou', 'Yusa, Kouji', 'Yoshino, Hiroyuki', 'Kuwashima, Houko', 'Tsuboi, Tomohiro', 'Miyano, Mamoru', 'Tobita, Nobuo']
animeStaff	[]
