animeTitle	Keppeki Danshi! Aoyama-kun
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-03 00:00:00
endDate	2017-09-18 00:00:00
animeNumMembers	154361
animeScore	6.98
animeUsers	62765
animeRank	3861
animePopularity	1168
animeDescription	"He is charming, cool, athletic, a good cook, but more importantly, he's a clean freak. Aoyama is idolized and respected by everyone, but they can only admire him from afar due to his mysophobia. Despite that, he plays soccer—a rather dirty sport!

As the playmaker for Fujimi High School's soccer club, Aoyama avoids physical contact at all cost and cleanly dribbles toward victory. However, the path to Nationals will not be easy for Fujimi's underdog team. But alongside striker Kaoru Zaizen, Aoyama will show everyone that even as a clean freak, there are things he's willing to get dirty for.

[Written by MAL Rewrite]"
animeRelated	['Keppeki Danshi! Aoyama-kun']
animeCharacters	['Aoyama-kun', 'Odagiri, Mio', 'Gotou, Moka', 'Zaizen, Kaoru', 'Umeya, Tsubasa', 'Kurata, Kozue', 'Takechi, Akira', 'Tsukamoto, Jin', 'Zaizen, Karin', 'Narita, Shion']
animeVoices	['Okiayu, Ryoutarou', 'Nakahara, Mai', 'Haruno, Anzu', 'Seki, Tomokazu', 'Namikawa, Daisuke', 'Endou, Aya', 'Koyasu, Takehito', 'Sakaguchi, Daisuke', 'Takahashi, Minami', 'Nojima, Hirofumi']
animeStaff	[['Ichikawa, Kazuya', 'Director'], ['Takakuwa, Hajime', 'Sound Director'], ['Matsuura, Arisa', 'Episode Director, Animation Director, Chief Animation Director, Character Design'], ['Gotou, Midori', 'Script, Series Composition']]
