animeTitle	Injuu Seisen XX
animeType	OVA
animeNumEpisode	4
releaseDate	1997-06-13 00:00:00
endDate	1997-09-12 00:00:00
animeNumMembers	1105
animeScore	5.5
animeUsers	292
animeRank	
animePopularity	10901
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Injuu Seisen: Twin Angels']
animeCharacters	['Amatsu, Ai', 'Amatsu, Mai']
animeVoices	[]
animeStaff	[['Rinshin', 'Character Design'], ['Ooshiro, Tsutomu', 'Key Animation']]
