animeTitle	Tonari no Totoro
animeType	Movie
animeNumEpisode	1
releaseDate	1988-04-16 00:00:00
endDate	
animeNumMembers	
animeScore	8.27
animeUsers	553451
animeRank	
animePopularity	129
animeDescription	"In 1950s Japan, Tatsuo Kusakabe relocates himself and his two daughters, Satsuki and Mei, to the countryside to be closer to their mother, who is hospitalized due to long-term illness. As the girls grow acquainted with rural life, Mei encounters a small, bunny-like creature in the yard one day. Chasing it into the forest, she finds ""Totoro""—a giant, mystical forest spirit whom she soon befriends. Before long, Satsuki too meets Totoro, and the two girls suddenly find their lives filled with magical adventures in nature and fantastical creatures of the woods.

[Written by MAL Rewrite]
"
animeRelated	['Mei to Koneko Bus']
animeCharacters	"['Totoro', 'Kusakabe, Mei', 'Kusakabe, Satsuki', 'Nekobasu', 'Makkuro-Kurosuke', 'Kusakabe, Tatsuo', 'Oogaki, Kanta', ""Kanta's Grandmother"", 'Kusakabe, Yasuko']"
animeVoices	['Takagi, Hitoshi', 'Sakamoto, Chika', 'Hidaka, Noriko', 'Itoi, Shigesato', 'Amagasa, Toshiyuki', 'Kitabayashi, Tanie', 'Shimamoto, Sumi']
animeStaff	[['Miyazaki, Hayao', 'Director, Script, Storyboard'], ['Hisaishi, Joe', 'Music'], ['Kanada, Yoshinori', 'Original Character Design, Key Animation'], ['Kimura, Shinji', 'Background Art']]
