animeTitle	Aishen Qiaokeli-ing...II
animeType	ONA
animeNumEpisode	15
releaseDate	2017-12-21 00:00:00
endDate	2018-04-05 00:00:00
animeNumMembers	26493
animeScore	7.13
animeUsers	10074
animeRank	3216
animePopularity	3530
animeDescription	Jiang Hao Yi, a normal, high school student who is extremely scared of getting into trouble, suddenly becomes the Harem King of his school when a bunch of beautiful girls confess to him! Unfortunately for Jian Hao, he doesn't know any of the girls who have confessed to him... What on Earth is happening?
animeRelated	['Aishen Qiaokeli-ing...', 'Aishen Qiaokeli-ing: Wanjie Jinian']
animeCharacters	['Ouyang, Xueli', 'Xia, Zitong', 'Jiang, Haoyi', 'Mei, Tata', 'Tang, Xuan', 'Lin, Yuan', 'Sandy', 'Ye, Zhengdong', 'Du, Yuze', 'Ji, Ran']
animeVoices	[]
animeStaff	[['Xiong, Ke', 'Director']]
