animeTitle	b'Furifure 2'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	1357
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Furifure: Chakushin Ari - Ecchi Tokidoki Koi.', b'Furifure The Animation']
animeCharacters	[b'Shinozaki, Sumire']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nCoffee, Kizoku\n\nOriginal Character Design\n\n', b'\nOri\n\nOriginal Creator\n\n']
