animeTitle	Hunter x Hunter Pilot
animeType	OVA
animeNumEpisode	1
releaseDate	1998-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	10262
animeRank	
animePopularity	3679
animeDescription	"The stand-alone pilot OVA which was shown as part of the ""Jump Super Anime Tour"" of 1998.

(Source: Wikipedia)"
animeRelated	['Hunter x Hunter']
animeCharacters	['Kurapika', 'Freecss, Gon', 'Paladiknight, Leorio', 'Kite', 'Freecss, Mito', 'Abe', 'Captain']
animeVoices	['Hidaka, Noriko', 'Matsumoto, Rica', 'Canna, Nobutoshi', 'Nakahara, Shigeru', 'Okamura, Akemi', 'Utsumi, Kenji']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Togashi, Yoshihiro', 'Original Creator']]
