animeTitle	b'Ikoku Meiro no Crois\xc3\xa9e The Animation'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	21404
animeRank	
animePopularity	
animeDescription	"b""The story takes place in the second half of the 19th century, as Japanese culture gains popularity in the West. A young Japanese girl, Yune, accompanies a French traveler, Oscar, on his journey back to France, and offers to help at the family's ironwork shop in Paris. Oscar's nephew and shop-owner Claude reluctantly accepts to take care of Yune, and we learn how those two, who have so little in common, get to understand each other and live together in the Paris of the 1800s."""
animeRelated	"[b'Ikoku Meiro no Crois\xc3\xa9e', b'Ikoku Meiro no Crois\xc3\xa9e The Animation: Ongakkai ""R\xc3\xa9cital""', b'Ikoku Meiro no Crois\xc3\xa9e: Yune & Alice', b'Ikoku Meiro no Crois\xc3\xa9e Picture Drama']"
animeCharacters	[b'Yune', b'Claudel, Claude', b'Blanche, Alice', b'Blanche, Camille', b'Claudel, Oscar', b'Shione', b'Vagrant child', b'Narrator', b'Yannick', b'Gidrel']
animeVoices	[b'\nTouyama, Nao\nJapanese\n', b'\nKondou, Takashi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nGibu, Yuko\nJapanese\n', b'\nCarpentier, Marc\nJapanese\n', b'\nSuzuki, Kiyonobu\nJapanese\n', b'\nHoshino, Mitsuaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNozaki, Keiichi\n\nProducer\n\n', b'\nYasuda, Kenji\n\nDirector\n\n', b'\nSatou, Junichi\n\nSound Director, Series Composition\n\n', b'\nGotou, Keiji\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n']
