animeTitle	Komadori Eiga: Komaneko
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	172
animeRank	
animePopularity	13145
animeDescription	Komaneko is the story of a very curious cat, named Koma-chan, that attempts to make her own stop motion. She deals with many challenges, but she also made some friends while creating her movie. Her curiosity makes her even more friends.
animeRelated	['Komaneko no Christmas: Maigo ni Natta Present', 'Waku Waku Koma-chan']
animeCharacters	['Komaneko']
animeVoices	[]
animeStaff	[['Gouda, Tsuneo', 'Director, Animation Director, Creator, Character Design']]
