animeTitle	Heisei Inu Monogatari Bow Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14418
animeDescription	"The story is set in primitive times,in a village which is home to Bow, Sayaka, and other funny characters. The village is suffering from a shortage of food. To resolve this critical situation, Inugami’s grandmother makes a prophesy: “The chosen one will save the village with a great animal.”

Following this prophesy, Bow, Sayaka, Inugami, and Sabu set out together on a journey. Sayaka expends great effort trying to capture a mammoth, while Bow causes confusion by fooling around in his usual way…

(Source: Nipponanimation)"
animeRelated	['Heisei Inu Monogatari Bow']
animeCharacters	['Bow']
animeVoices	[]
animeStaff	[['Kaga, Tsuyoshi', 'Director'], ['Kase, Masahiro', 'Character Design, Animation Director'], ['Kawai, Ken', 'Art Director']]
