animeTitle	b'Manga Sekai Mukashibanashi'
animeType	b'TV'
animeNumEpisode	127
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	345
animeRank	
animePopularity	
animeDescription	"b'Each episode of this series tells the story of a famous fairy tale from all around the world. Some of them are adapted from famous books such as ""The Iliad"".\n\n(Source: ANN)'"
animeRelated	[b'Manga Nippon Mukashibanashi (1976)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
