animeTitle	Turnover
animeType	ONA
animeNumEpisode	1
releaseDate	2015-03-16 00:00:00
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	1038
animeRank	
animePopularity	8984
animeDescription	"The story centers around Chizuru, who moved from Yamaguchi to Tokyo, and cannot keep up with the pace of her studies. Losing sight of her dream because of discouraging marks in practice exams, she talks to her former classmate Shōta, and slowly begins changing the way she studies.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Yamazaki, Chizuru', 'Sakurai', 'Ai', 'Shouta']
animeVoices	['Hanazawa, Kana', 'Miyagawa, Miho', 'Senbongi, Sayaka', 'Kagura, Hiroyuki']
animeStaff	[['Sakamoto, Takuma', 'Director, Storyboard'], ['Akita, Manabu', 'Episode Director, Animation Director, Character Design'], ['Hishiyama, Tooru', 'Art Director']]
