animeTitle	Choujuu Kishin Dancougar
animeType	TV
animeNumEpisode	38
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	896
animeRank	
animePopularity	7472
animeDescription	"Emperor Muge Zarbados and his Empire of Death decide that their next conquest will be the faraway planet of Earth. Muge becomes even more fearsome because of Shapiro Keats, a power-hungry Earthling-turned-traitor. It's up to Shinobu, Sara (Shapiro's old girldfriend), Masato, and Ryo of the Jyusenkitai/Cyber Beast Force to pilot the four Jyusenki/Beast Mecha (Eagle Fighter, Land Cougar, Land Liger, and Big Moth [a mammoth mecha]), which can combine into the giant mech Dancougar.

(Source: ANN)"
animeRelated	['Choujuu Kishin Dancougar Burn', 'Juusou Kikou Dancougar Nova', 'Choujuu Kishin Dancougar: Ushinawareta Mono-tachi e no Requiem', 'Choujuu Kishin Dancougar: Juusenki-tai Songs']
animeCharacters	['Fujiwara, Shinobu', 'Yuki, Sara', 'Shikibu, Masato', 'Shiba, Ryo', 'Keats, Shapiro', 'Igor, Alan', 'Sullivan, Laura']
animeVoices	['Yao, Kazuki', 'Yamamoto, Yuriko', 'Nakahara, Shigeru', 'Shiozawa, Kaneto', 'Wakamoto, Norio', 'Tanaka, Hideyuki', 'Fujiwara, Rie']
animeStaff	[['Habara, Nobuyoshi', 'Director, Character Design'], ['Negishi, Hiroshi', 'Episode Director'], ['Kuriyama, Yoshihide', 'Episode Director'], ['Yuyama, Kunihiko', 'Storyboard']]
