animeTitle	Idolls!
animeType	TV
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.1
animeUsers	1365
animeRank	
animePopularity	7691
animeDescription	An idol group, consisting of four young girls, are at loss as the number of guests coming to their concerts is hilariously low. One day, confronted by a talking wooden carving, they take on a challenge to gather a hundred fans in only ten days in order to fill a proper concert venue.
animeRelated	[]
animeCharacters	['Ruka', 'Shiori', 'Ami', 'Aina']
animeVoices	['Yashiro, Ruka', 'Hanaoka, Shiori', 'Mizuno, Ami', 'Rutou, Aina']
animeStaff	[['Nakano, Shouta', 'Director'], ['Watarai, Keiji', 'Original Character Design']]
