animeTitle	Bobunemimimmi Specials
animeType	Special
animeNumEpisode	2
releaseDate	2018-09-15 00:00:00
endDate	
animeNumMembers	2356
animeScore	5.77
animeUsers	559
animeRank	9478
animePopularity	9010
animeDescription	"The official website for the Pop Team Epic anime announced on Monday that the series' Bobunemimimmi (Bob Epic Team) segments will be compiled into a standalone Blu-ray Disc release. The release will include all 22 previously released segments by the production team AC-bu, plus two new segments, a ""high speed kamishibai (paper theater) collection"" of the ""Hellshake Yano"" segment, and original stickers.

(Source: ANN)"
animeRelated	['Poputepipikku', 'Poputepipikku Specials']
animeCharacters	['Popuko', 'Pipimi']
animeVoices	[]
animeStaff	[['AC-bu', 'Director']]
