animeTitle	Kawa no Hikari
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	511
animeRank	
animePopularity	10341
animeDescription	A story of a rat family who have to leave their home because humans start a construction site. Now the rats are searching for a place to stay.
animeRelated	[]
animeCharacters	['Father', 'Chicchi', 'Taata', 'Blue', 'Tammy', 'Suzume', 'Glen']
animeVoices	['Yamadera, Kouichi', 'Kaneda, Tomoko', 'Orikasa, Fumiko', 'Tanaka, Atsuko', 'Hirano, Aya', 'Ootsuka, Akio']
animeStaff	[['Hirakawa, Tetsuo', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Yoshioka, Takao', 'Script'], ['Yusa, Mimori', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition']]
