animeTitle	D.Gray-man Hallow
animeType	TV
animeNumEpisode	13
releaseDate	2016-07-05 00:00:00
endDate	2016-09-27 00:00:00
animeNumMembers	
animeScore	7.72
animeUsers	68139
animeRank	
animePopularity	1037
animeDescription	"Despite the recent Akuma attack, the members of the Black Order are in high spirits as they set about moving to a new base. Immediately upon his arrival, however, Allen Walker is suddenly called by the Central Agency and has his arm forcefully sealed by the Order. He is then led to a surprising meeting with his master, General Cross Marian, who reveals staggering secrets surrounding the enigmatic 14th Noah.

A phantom thief incident, the arrival of a mysterious group of Exorcists, the death of an important comrade, and an all-out battle against the Noah Family—just what does this mean for Allen, Yuu Kanda, and the rest of the Order? This is but the beginning of a series of strange, seemingly unconnected events that lead to something far greater.

[Written by MAL Rewrite]"
animeRelated	['D.Gray-man']
animeCharacters	['Walker, Allen', 'Kanda, Yuu', 'Link, Howard', 'Lavi', 'Mikk, Tyki', 'Lee, Lenalee', 'Kamelot, Road', 'Marian, Cross', 'Crowley III, Aleister', 'Millennium Earl']
animeVoices	['Murase, Ayumu', 'Satou, Takuya', 'Tachibana, Shinnosuke', 'Hanae, Natsuki', 'Nishida, Masakazu', 'Kakuma, Ai', 'Kondou, Yui', 'Mogami, Tsuguo', 'Sugiyama, Noriaki', 'Aoyama, Yutaka']
animeStaff	[['Ashino, Yoshiharu', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Kaneko, Yoshiyuki', 'Episode Director'], ['Tanemura, Ayataka', 'Episode Director']]
