animeTitle	Omae wa Mada Gunma wo Shiranai
animeType	TV
animeNumEpisode	12
releaseDate	2018-04-02 00:00:00
endDate	2018-06-18 00:00:00
animeNumMembers	12856
animeScore	5.24
animeUsers	4363
animeRank	11036
animePopularity	4790
animeDescription	"Nori Kamitsuki has recently moved to the Gunma prefecture from Chiba, following after Otoya Todoroki, a former friend who moved there in elementary school. While on the way there, he receives an ominous text message from Todoroki telling him to turn back and that once someone enters Gunma, they never return.

Ignoring the message, As Kamitsuki goes about his school life and makes new friends. These people make it their mission to prove any negative stereotypes surrounding Gunma wrong and show Kamitsuki all the ways Gunma is different from the rest of Japan—from its local foods and landmarks, the changes to its daily school life, and even the attitude of the people who live there. Gunma is widely regarded as the least popular prefecture in Japan, but they clearly don't know Gunma yet!

[Written by MAL Rewrite]"
animeRelated	['Omae wa Mada Gunma wo Shiranai']
animeCharacters	['Shinooka, Kyou', 'Todoroki, Otoya', 'Kamitsuki, Nori', 'Yajiru-senpai', 'Ieki, Teruna', 'Kokoro, Yasuki', 'Kimura, Nitatsu', 'Narrator']
animeVoices	['Uchida, Aya', 'Kasama, Jun', 'Kajiwara, Gakuto', 'Sugita, Tomokazu', 'Ogura, Yui', 'Amezawa, Yuuki', 'Hayashi, Daichi']
animeStaff	[['Mankyuu', 'Director, Series Composition'], ['Uchida, Aya', 'Theme Song Performance'], ['Kogawa, Tomonori', 'Animation Director, Key Animation, Chief Animation Director, Character Design'], ['Nobori, Haruko', 'Color Setting']]
