animeTitle	The God of Highschool
animeType	ONA
animeNumEpisode	1
releaseDate	2016-05-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	7608
animeRank	
animePopularity	4038
animeDescription	"It all began as a fighting tournament to seek out for the best fighter among all high school students in Korea. Mori Jin, a Taekwondo specialist and a high school student, soon learns that there is something much greater beneath the stage of the tournament.

(Source: Webtoon YouTube Channel)"
animeRelated	['The God of High School']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
