animeTitle	b'Yuhuwa Chingudeul'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The characters are species at risk of extinction who take a journey together to find new friends on other continents. The show is designed to teach children about environmental protection and preservation. The series was developed in 2007 and targeted at the global market.\n\n(Source: AWN)'
animeRelated	[b'Yuhuwa Chingudeul 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
