animeTitle	Chibikko Kaijuu Yadamon
animeType	TV
animeNumEpisode	26
releaseDate	1967-10-02 00:00:00
endDate	1968-03-25 00:00:00
animeNumMembers	357
animeScore	
animeUsers	
animeRank	15180
animePopularity	13936
animeDescription	"A comedy about a spoiled and bratty kid monster. Each episode contains 2 stories.

(Source: AniDB)"
animeRelated	['Yadamon']
animeCharacters	['Chomeko']
animeVoices	['Ichitani, Nobue']
animeStaff	[['Fujikawa, Keisuke', 'Script, Screenplay']]
