animeTitle	Asobou! Hello Kitty
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	412
animeRank	
animePopularity	10715
animeDescription	"Hello Kitty lives with her mother, father, and identical twin sister Mimmy in this series, which also stars other Sanrio characters including Keroppi, Pekkle, and Little Twin Stars ""Patty"" and ""Jimmy."" Characters have different adventures around their neighborhood (and occasionally in fantasy) in each episode. "
animeRelated	[]
animeCharacters	['White, Kitty', 'White, Mimmy', 'Pekkle']
animeVoices	[]
animeStaff	[['Tsuji, Shintarou', 'Executive Producer'], ['Totsuka, Osamu', 'Music'], ['Ike, Takeshi', 'Music']]
