animeTitle	Ikkitousen: Great Guardians Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	7189
animeRank	
animePopularity	4330
animeDescription	Uncensored Ikkitousen: Great Guardians DVD Comedy Specials.
animeRelated	['Ikkitousen: Great Guardians']
animeCharacters	"[""Kan'u, Unchou"", 'Ryomou, Shimei', 'Sonsaku, Hakufu', 'Ryofu, Housen', ""Chou'un, Shiryuu"", 'Kakouen, Myousai', 'Shuuyu, Koukin', 'Ryuubi, Gentoku', 'Chuubou, Sonken', 'Goei']"
animeVoices	['Nabatame, Hitomi', 'Kaida, Yuuko', 'Asano, Masumi', 'Watanabe, Akeno', 'Asakawa, Yuu', 'Kitamura, Eri', 'Hino, Satoshi', 'Shindou, Kei', 'Horie, Yui', 'Inoue, Kikuko']
animeStaff	[]
