animeTitle	Kyonyuu Reijou MC Gakuen
animeType	OVA
animeNumEpisode	2
releaseDate	2017-02-24 00:00:00
endDate	2017-03-31 00:00:00
animeNumMembers	8373
animeScore	6.83
animeUsers	2857
animeRank	
animePopularity	5726
animeDescription	 An adaptation of the game of the same name.
animeRelated	['Kyonyuu Reijou MC Gakuen', 'Kyonyuu Reijou MC Gakuen: Sennou Harem Kyouka Keikaku']
animeCharacters	['Kichouji, Arisa']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director'], ['Skyhouse', 'Original Character Design']]
