animeTitle	b'Meikoku Gakuen: Jutai-hen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	3477
animeRank	
animePopularity	
animeDescription	b'Based on the game by Lune.'
animeRelated	[b'Meikoku Gakuen', b'Jutaijima']
animeCharacters	[b'Nijou, Shizue', b'Asada, Shin', b'Jinguuji, Kirika', b'Hazama, Eri', b'Teikei, Rio', b'Ijuuin, Maya', b'Kurosu, Reina', b'Tadokoro, Aoi']
animeVoices	[b'\nHyo-sei\nJapanese\n', b'\nMizuguchi, Matsuri\nJapanese\n', b'\nYoneshima, Nozomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nDoshida, Tomoaki\n\nStoryboard\n\n', b'\nButcha-U\n\nOriginal Character Design\n\n']
