animeTitle	Singles
animeType	OVA
animeNumEpisode	1
releaseDate	1993-05-28 00:00:00
endDate	
animeNumMembers	1146
animeScore	5.5
animeUsers	416
animeRank	10388
animePopularity	10792
animeDescription	"Graduating senior Sakisaka Saki is secretly in love with her older sister Noriko's boyfriend, Kazame Kaname, unaware that Noriko and Kaname have broken up. Saki hopes to escape her dilemma when she goes to college, but she ends up attending the same college as Kaname. During orientation, she is recruited to Kaname's video club. He wants to film her, but so does another boy, Tachibana Daichi, who is secretly in love with her. Can the knots be untangled and true love find its true course? 

(Source: Orphan Fansubs)"
animeRelated	['Singles']
animeCharacters	['Tachibana, Daichi', 'Kazami, Kaname', 'Sakisaka, Noriko', 'Sakisaka, Saki']
animeVoices	['Kusao, Takeshi', 'Matsumoto, Yasunori', 'Amano, Yuri', 'Minaguchi, Yuko']
animeStaff	[['Honda, Yasunori', 'Sound Director'], ['Araki, Kenichi', 'Script'], ['Kobayashi, Akiko', 'Theme Song Composition'], ['Ogura, Hiromasa', 'Background Art']]
