animeTitle	Mouryou no Nie
animeType	OVA
animeNumEpisode	2
releaseDate	2012-12-21 00:00:00
endDate	2013-03-15 00:00:00
animeNumMembers	3575
animeScore	6.17
animeUsers	1101
animeRank	
animePopularity	7933
animeDescription	"Hundreds of years ago, a big war between humans and monsters happened. Humans somehow won the war and sealed up the monsters deep in the mountains.... Hayato, Chihiro and Suzuna work hard to eliminate and seal up evil monsters every day. They are actually monsters, but they just want to coexist with humans. One day, they hear that the monsters sealed up hundreds of years ago are about to come out.... To stop it, they decide to visit the place....

(Source: ErogeShop)"
animeRelated	['Mouryou no Nie']
animeCharacters	['Kasugai, Chihiro', 'Yakushiji, Reika', 'Wakatsuki, Suzuna', 'Koboyakama, Hayato']
animeVoices	['Uchino, Pochi', 'Ayabe, Yuika', 'Joubu, Koushin']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Kimura, Takeshi', 'Storyboard, Character Design'], ['TinkerBell', 'Original Creator'], ['Aojiru', 'Original Character Design, Original Creator']]
